date,precipitation
2025-03-01,169.3978756666666
2025-04-01,138.5835926
2025-05-01,112.68804281333331
2025-06-01,98.98530965066658
2025-07-01,85.46340978720009
2025-08-01,139.64295656309335
2025-09-01,92.40492065047461
2025-10-01,151.19469858704642
2025-11-01,164.4331676029704
2025-12-01,153.84970948237623
2026-01-01,110.96789965256767
2026-02-01,91.12179245538735
2026-03-01,117.93754136430975
2026-04-01,92.06292515811461
2026-05-01,70.11910885982495
2026-06-01,59.57776248785983
2026-07-01,48.58497205695456
2026-08-01,104.78780637889693
2026-09-01,59.16840050311745
2026-10-01,119.25308246916062
2026-11-01,133.52747470866174
2026-12-01,123.77275516692923
2027-01-01,81.55393620021016
2027-02-01,62.238221693501394
2027-03-01,89.47828475480097
2027-04-01,63.94311987050744
2027-05-01,42.27086462973912
2027-06-01,31.94676710379113
2027-07-01,21.127775749699566
2027-08-01,77.4696493330928
2027-09-01,31.96147486647405
2027-10-01,92.1351419598459
2027-11-01,106.48072230120985
2027-12-01,96.78295324096771
2028-01-01,54.609694659440606
2028-02-01,35.33042846088553
2028-03-01,62.59965016870822
2028-04-01,37.087812201632936
2028-05-01,15.434218494639392
2028-06-01,5.125050195711445
2028-07-01,-5.681997776764348
2028-08-01,50.66943051192154
2028-09-01,5.168899809537127
2028-10-01,65.3486819142961
2028-11-01,79.69915426476994
2028-12-01,70.00529881181572
2029-01-01,27.835171116118996
2029-02-01,8.558409626228254
2029-03-01,35.82963510098252
2029-04-01,10.319400147452384
2029-05-01,-11.332911148705058
2029-06-01,-21.6410535189642
2029-07-01,-32.44728074850494
2029-08-01,23.904804134529076
2029-09-01,-21.59520129237685
2029-10-01,38.58500103276492
2029-11-01,52.93580955954496
2029-12-01,43.2422230476358
2030-01-01,1.0723105047750288
2030-02-01,-18.20427886284698
2030-03-01,9.067084309722208
2030-04-01,-16.4430404855559
2030-05-01,-38.095263655111566
2030-06-01,-48.40333552408957
2030-07-01,-59.209506352605246
2030-08-01,-2.8573763487510035
2030-09-01,-48.35734567900103
2030-10-01,11.822885523465516
2030-11-01,26.17371715210561
2030-12-01,16.480149121684143
2031-01-01,-25.689748635986238
2031-02-01,-44.966326175455826
2031-03-01,-17.69495354036495
2031-04-01,-43.20507076562557
2031-05-01,-64.85728787916717
2031-06-01,-75.16535490333399
2031-07-01,-85.97152185600069
2031-08-01,-29.619388751467444
2031-09-01,-75.11935560117412
2031-10-01,-14.939122414272902
2031-11-01,-0.5882891980851284
2031-12-01,-10.28185595846842
2032-01-01,-52.45175270010827
2032-02-01,-71.72832942675336
2032-03-01,-44.45695614140298
2032-04-01,-69.96707284645595
2032-05-01,-91.61928954383153
2032-06-01,-101.92735623506542
2032-07-01,-112.7335229213858
2032-08-01,-56.38138960377545
2032-09-01,-101.88135628302054
2032-10-01,-41.70112295975002
2032-11-01,-27.350289634466655
2032-12-01,-37.043856307573584
2033-01-01,-79.21375297939232
2033-02-01,-98.49032965018068
2033-03-01,-71.2189563201448
2033-04-01,-96.72907298944926
2033-05-01,-118.38128965822625
2033-06-01,-128.68935632658122
2033-07-01,-139.49552299459825
2033-08-01,-83.1433896623455
2033-09-01,-128.6433563298765
2033-10-01,-68.46312299723456
2033-11-01,-54.11228966445446
2033-12-01,-63.80585633156384
2034-01-01,-105.97575299858443
2034-02-01,-125.25232966553438
2034-03-01,-97.9809563324277
2034-04-01,-123.49107299927539
2034-05-01,-145.14328966608707
2034-06-01,-155.45135633286975
2034-07-01,-166.25752299962906
2034-08-01,-109.90538966637007
2034-09-01,-155.40535633309605
2034-10-01,-95.2251229998102
2034-11-01,-80.87428966651487
2034-12-01,-90.567856333212
2035-01-01,-132.7377529999028
2035-02-01,-152.014329666589
2035-03-01,-124.74295633327131
2035-04-01,-150.2530729999504
2035-05-01,-171.90528966662703
2035-06-01,-182.2133563333017
2035-07-01,-193.01952299997473
2035-08-01,-136.6673896666466
2035-09-01,-182.16735633331712
2035-10-01,-121.98712299998715
2035-11-01,-107.63628966665647
2035-12-01,-117.32985633332507
2036-01-01,-159.49975299999346
2036-02-01,-178.77632966666158
2036-03-01,-151.50495633332935
2036-04-01,-177.01507299999685
2036-05-01,-198.66728966666426
2036-06-01,-208.97535633333132
2036-07-01,-219.78152299999843
2036-08-01,-163.42938966666554
2036-09-01,-208.92935633333218
2036-10-01,-148.74912299999914
2036-11-01,-134.39828966666607
2036-12-01,-144.09185633333297
2037-01-01,-186.26175299999977
2037-02-01,-205.53832966666664
2037-03-01,-178.26695633333327
2037-04-01,-203.7770730000001
2037-05-01,-225.42928966666693
2037-06-01,-235.73735633333354
2037-07-01,-246.5435230000003
2037-08-01,-190.1913896666672
2037-09-01,-235.69135633333394
2037-10-01,-175.5111230000008
2037-11-01,-161.1602896666676
2037-12-01,-170.85385633333428
2038-01-01,-213.02375300000108
2038-02-01,-232.30032966666795
2038-03-01,-205.02895633333458
2038-04-01,-230.5390730000014
2038-05-01,-252.19128966666824
2038-06-01,-262.4993563333351
2038-07-01,-273.3055230000018
2038-08-01,-216.9533896666685
2038-09-01,-262.45335633333525
2038-10-01,-202.2731230000021
2038-11-01,-187.9222896666687
2038-12-01,-197.61585633333559
2039-01-01,-239.7857530000024
2039-02-01,-259.06232966666926
2039-03-01,-231.7909563333361
2039-04-01,-257.30107300000293
2039-05-01,-278.95328966666955
2039-06-01,-289.2613563333364
2039-07-01,-300.0675230000031
2039-08-01,-243.7153896666698
2039-09-01,-289.21535633333656
2039-10-01,-229.0351230000034
2039-11-01,-214.68428966667022
2039-12-01,-224.37785633333712
2040-01-01,-266.5477530000039
2040-02-01,-285.82432966667056
2040-03-01,-258.5529563333374
2040-04-01,-284.06307300000424
2040-05-01,-305.71528966667086
2040-06-01,-316.0233563333377
2040-07-01,-326.82952300000443
2040-08-01,-270.47738966667134
2040-09-01,-315.9773563333381
2040-10-01,-255.79712300000494
2040-11-01,-241.44628966667153
2040-12-01,-251.13985633333843
2041-01-01,-293.309753000005
2041-02-01,-312.5863296666719
2041-03-01,-285.3149563333387
2041-04-01,-310.82507300000555
2041-05-01,-332.4772896666724
2041-06-01,-342.7853563333392
2041-07-01,-353.59152300000574
2041-08-01,-297.23938966667265
2041-09-01,-342.7393563333394
2041-10-01,-282.559123000006
2041-11-01,-268.20828966667284
2041-12-01,-277.90185633333977
2042-01-01,-320.07175300000654
2042-02-01,-339.3483296666734
2042-03-01,-312.07695633334026
2042-04-01,-337.58707300000685
2042-05-01,-359.2392896666737
2042-06-01,-369.54735633334053
2042-07-01,-380.35352300000704
2042-08-01,-324.00138966667396
2042-09-01,-369.5013563333407
2042-10-01,-309.32112300000756
2042-11-01,-294.9702896666744
2042-12-01,-304.6638563333413
2043-01-01,-346.83375300000785
2043-02-01,-366.1103296666747
2043-03-01,-338.83895633334157
2043-04-01,-364.34907300000816
2043-05-01,-386.001289666675
2043-06-01,-396.30935633334184
2043-07-01,-407.1155230000086
2043-08-01,-350.7633896666755
2043-09-01,-396.26335633334224
2043-10-01,-336.08312300000887
2043-11-01,-321.7322896666757
2043-12-01,-331.4258563333424
2044-01-01,-373.59575300000915
2044-02-01,-392.872329666676
2044-03-01,-365.6009563333429
2044-04-01,-391.1110730000097
2044-05-01,-412.76328966667654
2044-06-01,-423.07135633334315
2044-07-01,-433.8775230000099
2044-08-01,-377.5253896666768
2044-09-01,-423.0253563333433
2044-10-01,-362.8451230000102
2044-11-01,-348.494289666677
2044-12-01,-358.1878563333439
2045-01-01,-400.3577530000107
2045-02-01,-419.63432966667756
2045-03-01,-392.3629563333442
2045-04-01,-417.873073000011
2045-05-01,-439.52528966667785
2045-06-01,-449.83335633334445
2045-07-01,-460.6395230000112
2045-08-01,-404.2873896666781
2045-09-01,-449.78735633334486
2045-10-01,-389.6071230000117
2045-11-01,-375.2562896666785
2045-12-01,-384.9498563333452
2046-01-01,-427.119753000012
2046-02-01,-446.39632966667887
2046-03-01,-419.1249563333455
2046-04-01,-444.6350730000123
2046-05-01,-466.28728966667916
2046-06-01,-476.595356333346
2046-07-01,-487.40152300001273
2046-08-01,-431.0493896666794
2046-09-01,-476.54935633334617
2046-10-01,-416.369123000013
2046-11-01,-402.0182896666796
2046-12-01,-411.71185633334653
2047-01-01,-453.8817530000133
2047-02-01,-473.1583296666802
2047-03-01,-445.88695633334703
2047-04-01,-471.39707300001385
2047-05-01,-493.04928966668047
2047-06-01,-503.3573563333473
2047-07-01,-514.163523000014
2047-08-01,-457.8113896666807
2047-09-01,-503.3113563333475
2047-10-01,-443.1311230000143
2047-11-01,-428.78028966668114
2047-12-01,-438.47385633334807
2048-01-01,-480.64375300001484
2048-02-01,-499.9203296666815
2048-03-01,-472.6489563333481
2048-04-01,-498.15907300001516
2048-05-01,-519.8112896666818
2048-06-01,-530.1193563333486
2048-07-01,-540.9255230000153
2048-08-01,-484.57338966668226
2048-09-01,-530.0733563333488
2048-10-01,-469.89312300001586
2048-11-01,-455.54228966668245
2048-12-01,-465.23585633334915
2049-01-01,-507.40575300001615
2049-02-01,-526.6823296666828
2049-03-01,-499.41095633334965
2049-04-01,-524.9210730000165
2049-05-01,-546.5732896666833
2049-06-01,-556.8813563333499
2049-07-01,-567.6875230000169
2049-08-01,-511.33538966668357
2049-09-01,-556.8353563333501
2049-10-01,-496.65512300001717
2049-11-01,-482.30428966668376
2049-12-01,-491.9978563333507
2050-01-01,-534.1677530000175
2050-02-01,-553.4443296666843
